58
CFLAR_ENST00000443227	49	48057	48057	1	9	0	0
CFLAR_ENST00000341222	62	25493	48057	1	6	9	0
CFLAR_ENST00000341582	102	48174	48057	1	8	15	0
CFLAR_ENST00000342795	134	38471	48174	1	9	23	0
CFLAR_ENST00000395148	302	23772	48174	1	5	32	0
CFLAR_ENST00000441224	732	17029	48174	1	3	37	0
CFLAR_ENST00000433445	934	13954	48174	1	2	40	0
CFLAR_ENST00000423241	2386	48005	48174	1	10	42	0
CFLAR_ENST00000490965	2418	3072	48174	1	2	52	0
CFLAR_ENST00000439154	2559	44350	48174	1	10	54	0
CFLAR_ENST00000425030	6372	13948	48174	1	2	64	0
CFLAR_ENST00000417748	13224	16997	48174	1	3	66	0
CFLAR_ENST00000440180	13398	25497	48174	1	5	69	0
CFLAR_ENST00000461820	13538	20176	48174	1	4	74	0
CFLAR_ENST00000309955	13624	44837	48174	1	8	78	0
CFLAR_ENST00000457277	13761	47454	48174	1	9	86	0
CFLAR_ENST00000461422	13872	24556	48174	1	4	95	0
CFLAR_ENST00000494258	16674	24630	48174	1	4	99	0
CFLAR_ENST00000470178	16767	25302	48174	1	4	103	0
CFLAR_ENST00000462763	16848	33730	48174	1	6	107	0
CFLAR_ENST00000479953	16879	47052	48174	1	8	113	0
CFLAR_ENST00000460961	16925	20309	48174	1	2	121	0
CFLAR_ENST00000340870	16931	44838	48174	1	6	123	0
CFLAR_ENST00000440965	21411	23922	48174	2	2	129	1
CFLAR_ENST00000474842	24081	47868	48174	1	6	131	0
CFLAR_ENST00000631217	24173	35055	48174	2	6	137	2
CFLAR_ENST00000630898	24177	35055	48174	2	6	143	2
CFLAR_ENST00000474886	24179	28091	48174	2	2	149	2
CFLAR_ENST00000628897	24179	35055	48174	2	6	151	2
CFLAR_ENST00000629722	24179	35055	48174	2	5	157	2
CFLAR_ENST00000626311	24179	35055	48174	2	7	162	2
CFLAR_ENST00000625360	24182	35055	48174	2	7	169	2
CFLAR_ENST00000631232	24184	33566	48174	2	3	176	2
CFLAR_ENST00000415011	24184	41718	48174	2	7	179	2
CFLAR_ENST00000629993	24185	33566	48174	2	3	186	2
CFLAR_ENST00000628648	24186	35055	48174	2	5	189	2
CFLAR_ENST00000598453	24191	35055	48174	2	6	194	2
CFLAR_ENST00000629760	24202	33566	48174	2	6	200	2
CFLAR_ENST00000627956	24203	33566	48174	2	3	206	2
CFLAR_ENST00000626451	24223	35055	48174	2	7	209	2
CFLAR_ENST00000594911	24266	35055	48174	2	8	216	2
CFLAR_ENST00000459460	25799	25861	48174	1	1	224	3
CFLAR_ENST00000625224	30190	33566	48174	2	3	225	2
CFLAR_ENST00000628309	30305	35055	48174	2	5	228	2
CFLAR_ENST00000629553	32162	33566	48174	2	3	233	2
CFLAR_ENST00000595372	32769	35055	48174	2	3	236	2
CFLAR_ENST00000470664	32846	34250	48174	1	2	239	0
CFLAR_ENST00000598509	33361	35055	48174	2	2	241	2
CFLAR_ENST00000593896	33751	35055	48174	2	2	243	2
CFLAR_ENST00000601974	35056	37513	48174	2	2	245	2
CFLAR_ENST00000424739	46379	46575	48174	2	1	247	4
CFLAR_ENST00000434645	50860	51441	48174	1	2	248	5
HIPK3_ENST00000303296	263058	357736	51441	1	16	250	6
HIPK3_ENST00000379016	263058	357736	357736	1	15	266	6
HIPK3_ENST00000531504	263802	292114	357736	1	2	281	6
HIPK3_ENST00000456517	263802	357736	357736	1	15	283	6
HIPK3_ENST00000525975	291884	359039	357736	1	15	298	6
HIPK3_ENST00000534262	334071	344313	359039	1	4	313	6
