74	100
377	13623	1	1	0	1
377	16923	1	1	0	1
863	13623	1	0	0	1
1038	13623	1	1	0	1
2797	2922	1	0	2	1
2797	13623	1	0	0	1
6643	13623	1	3	0	1
13416	13623	1	0	0	1
14042	16923	1	2	0	1
16746	16923	1	2	0	1
17030	19866	1	2	0	1
20003	20092	1	1	2	1
20003	24251	1	1	0	1
22898	23867	0	1	2	2
24335	25268	1	1	0	1
24335	26539	1	1	1	1
24335	29272	1	1	0	1
24335	32896	0	0	1	1
24335	33648	1	1	0	1
24341	27241	4	0	3	2
24341	28030	2	0	0	2
24341	29468	2	0	0	2
24341	29534	2	0	0	2
24341	31637	2	0	3	2
24341	32610	2	0	1	2
24341	32628	2	0	2	2
24341	33019	2	0	3	2
26658	29272	1	1	0	1
27365	32628	2	0	2	2
28191	29468	2	2	0	2
28198	29468	2	0	0	2
28198	32628	2	0	2	2
29328	32897	1	0	0	1
29586	32628	2	0	2	2
30638	32628	2	1	2	2
30638	33019	2	1	4	2
31760	32628	2	0	3	2
32767	33019	2	0	3	2
32767	33548	2	0	3	2
32948	33648	1	3	0	1
33094	33223	0	2	5	2
33096	33548	2	1	3	2
33339	33548	2	0	3	2
33656	34265	2	2	3	2
33656	34992	2	3	0	2
33731	38031	1	3	2	1
33731	44326	1	3	0	1
34385	34992	2	1	0	2
35155	36716	2	0	3	2
35155	37205	2	0	0	2
37569	41649	2	0	2	2
44838	46890	1	2	1	1
44838	47729	1	2	0	1
51168	51304	1	2	0	1
263361	291883	1	2	3	1
264162	291883	1	1	5	1
292983	333980	1	3	0	1
334105	341128	1	2	1	1
334105	342545	1	4	0	1
341238	342545	1	2	0	1
342666	344227	1	3	0	1
344315	344820	1	0	4	1
345006	346438	1	0	0	1
346599	347033	1	4	1	1
347158	352763	1	2	5	1
352886	353099	1	3	0	1
353225	353322	1	1	1	1
353485	353636	1	3	0	1
353485	353992	1	3	1	1
353700	353992	1	1	1	1
354290	354617	1	0	0	1
354759	357078	1	3	0	1
357315	357608	1	3	0	1
357737	358562	1	2	2	1
