317
49	376	1	0	1
62	376	1	0	2
102	376	1	0	3
134	376	1	0	4
302	376	1	0	5
732	862	1	0	6
934	1037	1	0	7
2386	2796	1	0	8
2418	2796	1	0	9
2559	2796	1	0	10
2923	3072	1	0	9
6372	6642	1	0	11
13224	13415	1	0	12
13398	14041	1	0	13
13538	14041	1	0	14
13624	13948	1	0	11
13624	13954	1	0	7
13624	14041	1	0	0
13624	14041	1	0	2
13624	14041	1	0	3
13624	14041	1	0	4
13624	14041	1	0	5
13624	14041	1	0	6
13624	14041	1	0	8
13624	14041	1	0	10
13624	14041	1	0	12
13761	14041	1	0	15
13872	14041	1	0	16
16674	16745	1	0	17
16767	17029	1	0	18
16848	17029	1	0	19
16879	17029	1	0	20
16924	16997	1	0	12
16924	17029	1	0	0
16924	17029	1	0	1
16924	17029	1	0	2
16924	17029	1	0	3
16924	17029	1	0	4
16924	17029	1	0	5
16924	17029	1	0	6
16924	17029	1	0	8
16924	17029	1	0	10
16924	17029	1	0	13
16924	17029	1	0	14
16924	17029	1	0	15
16924	17029	1	0	16
16924	17029	1	0	17
16925	17029	1	0	21
16931	17029	1	0	22
19867	20002	1	0	0
19867	20002	1	0	1
19867	20002	1	0	2
19867	20002	1	0	3
19867	20002	1	0	4
19867	20002	1	0	5
19867	20002	1	0	8
19867	20002	1	0	10
19867	20002	1	0	13
19867	20002	1	0	14
19867	20002	1	0	15
19867	20002	1	0	16
19867	20002	1	0	17
19867	20002	1	0	18
19867	20002	1	0	19
19867	20002	1	0	20
19867	20002	1	0	22
19867	20309	1	0	21
20093	20176	1	0	14
20093	23772	1	0	5
21411	22898	2	1	25
23869	23922	2	1	25
24081	24334	1	0	23
24173	24340	2	2	26
24177	24340	2	2	27
24179	24340	2	2	28
24179	24340	2	2	29
24179	24340	2	2	30
24179	24340	2	2	31
24182	24340	2	2	32
24184	24340	2	2	33
24184	24340	2	2	34
24185	24340	2	2	35
24186	24340	2	2	36
24191	24340	2	2	37
24202	24340	2	2	38
24203	24340	2	2	39
24223	24340	2	2	40
24252	24334	1	0	0
24252	24334	1	0	1
24252	24334	1	0	2
24252	24334	1	0	3
24252	24334	1	0	4
24252	24334	1	0	8
24252	24334	1	0	10
24252	24334	1	0	13
24252	24334	1	0	15
24252	24334	1	0	18
24252	24334	1	0	19
24252	24334	1	0	20
24252	24334	1	0	22
24252	24556	1	0	16
24252	24630	1	0	17
24266	24340	2	2	41
25269	25302	1	0	18
25269	25493	1	0	2
25269	25497	1	0	13
25799	25861	1	3	49
26540	26657	1	0	10
27242	27364	2	2	36
28031	28091	2	2	28
28031	28190	2	2	38
28031	28197	2	2	30
28031	28197	2	2	31
28031	28197	2	2	32
28031	28197	2	2	37
28031	28197	2	2	41
29273	29327	1	0	0
29273	29327	1	0	1
29273	29327	1	0	4
29273	29327	1	0	8
29273	29327	1	0	10
29273	29327	1	0	15
29273	29327	1	0	19
29273	29327	1	0	20
29273	29327	1	0	23
29469	29585	2	2	38
29469	29585	2	2	40
29469	29585	2	2	41
29535	29585	2	2	29
30190	30637	2	2	42
30305	30637	2	2	43
31638	31759	2	2	27
32162	32766	2	2	44
32611	33095	2	2	35
32629	32766	2	2	26
32629	32766	2	2	27
32629	32766	2	2	29
32629	32766	2	2	30
32629	32766	2	2	31
32629	32766	2	2	32
32629	32766	2	2	34
32629	32766	2	2	36
32629	32766	2	2	37
32629	32766	2	2	38
32629	32766	2	2	40
32629	32766	2	2	41
32629	32766	2	2	43
32629	33095	2	2	39
32769	33338	2	2	45
32846	32947	1	0	24
32897	32947	1	0	22
32898	32947	1	0	0
32898	32947	1	0	1
32898	32947	1	0	4
32898	32947	1	0	8
32898	32947	1	0	10
32898	32947	1	0	15
32898	32947	1	0	19
32898	32947	1	0	20
32898	32947	1	0	23
33020	33095	2	2	26
33020	33095	2	2	27
33020	33095	2	2	29
33020	33095	2	2	31
33020	33095	2	2	32
33020	33095	2	2	33
33020	33095	2	2	34
33020	33095	2	2	37
33020	33095	2	2	38
33020	33095	2	2	40
33020	33095	2	2	41
33020	33095	2	2	42
33020	33095	2	2	43
33020	33095	2	2	44
33226	33338	2	2	26
33226	33338	2	2	32
33226	33338	2	2	40
33361	33655	2	2	46
33549	33566	2	2	33
33549	33566	2	2	35
33549	33566	2	2	38
33549	33566	2	2	39
33549	33566	2	2	42
33549	33566	2	2	44
33549	33655	2	2	26
33549	33655	2	2	27
33549	33655	2	2	29
33549	33655	2	2	30
33549	33655	2	2	31
33549	33655	2	2	32
33549	33655	2	2	34
33549	33655	2	2	36
33549	33655	2	2	37
33549	33655	2	2	40
33549	33655	2	2	41
33549	33655	2	2	43
33549	33655	2	2	45
33649	33730	1	0	0
33649	33730	1	0	1
33649	33730	1	0	3
33649	33730	1	0	4
33649	33730	1	0	8
33649	33730	1	0	10
33649	33730	1	0	15
