317
0	327	0
16875	16980	328
19818	19953	434
24203	24285	570
29224	29278	653
32849	32898	708
33600	33681	758
44278	44788	840
47681	48008	1351
0	314	0
13562	13979	315
16862	16967	733
19805	19940	839
24190	24272	975
25207	25431	1058
0	274	0
13522	13939	275
16822	16927	693
19765	19900	799
24150	24232	935
33547	33628	1018
44225	44735	1100
47628	48072	1611
0	242	0
13490	13907	243
16790	16895	661
19733	19868	767
24118	24200	903
29139	29193	986
32764	32813	1041
33515	33596	1091
37898	38337	1173
0	74	0
13322	13739	75
16622	16727	493
19565	19700	599
19791	23470	735
0	130	0
12892	13309	131
16192	16297	549
0	103	0
12690	13020	104
0	410	0
11238	11655	411
14538	14643	829
17481	17616	935
21866	21948	1071
26887	26941	1154
30512	30561	1209
31263	31344	1259
41941	42451	1341
45344	45619	1852
0	378	0
505	654	379
0	237	0
11065	11482	238
14365	14470	656
17308	17443	762
21693	21775	898
23981	24098	981
26714	26768	1099
30339	30388	1154
31090	31171	1204
41768	41791	1286
0	270	0
7252	7576	271
0	191	0
400	817	192
3700	3773	610
0	643	0
3526	3631	644
6469	6604	750
10854	10936	886
11871	12099	969
0	503	0
3386	3491	504
6329	6464	610
6555	6638	746
0	417	0
3300	3405	418
6243	6378	524
10628	10710	660
15649	15703	743
19274	19323	798
20025	20106	848
30703	31213	930
0	280	0
3163	3268	281
6106	6241	387
10491	10573	523
15512	15566	606
19137	19186	661
19888	19969	711
30566	31076	793
33130	33693	1304
0	169	0
3052	3157	170
5995	6130	276
10380	10684	412
0	71	0
250	355	72
3193	3328	178
7578	7956	314
0	262	0
3100	3235	263
7485	7567	399
8502	8535	482
0	181	0
3019	3154	182
7404	7486	318
12425	12479	401
16050	16099	456
16801	16882	506
0	150	0
2988	3123	151
7373	7455	287
12394	12448	370
16019	16068	425
16770	16851	475
27448	27958	557
30012	30173	1068
0	104	0
2942	3384	105
0	98	0
2936	3071	99
7321	7403	235
15966	16016	318
16718	16799	369
27396	27907	451
0	1487	0
2458	2511	1488
0	253	0
5192	5246	254
8817	8866	309
9568	9649	359
20246	20756	441
23649	23787	952
0	167	0
8456	8593	168
8847	8922	306
9053	9165	382
9376	9482	495
10820	10882	602
0	163	0
7461	7582	164
8452	8589	286
8843	8918	424
9372	9478	500
10816	10878	607
0	161	0
3852	3912	162
0	161	0
5356	5406	162
8450	8587	213
8841	8916	351
9370	9476	427
10814	10876	534
0	161	0
3852	4018	162
8450	8587	329
9370	9476	467
10814	10876	574
0	161	0
3852	4018	162
8450	8587	329
8841	8916	467
9370	9476	543
10087	10205	650
10814	10876	769
0	158	0
3849	4015	159
8447	8584	326
8838	8913	464
9044	9156	540
9367	9473	653
10811	10873	760
0	156	0
8836	8911	157
9365	9382	233
0	156	0
8445	8582	157
8836	8911	295
9365	9471	371
10809	10970	478
13022	13384	640
17466	17534	1003
0	155	0
8426	8910	156
9364	9381	641
0	154	0
3056	3178	155
8443	8580	278
9363	9469	416
10807	10869	523
0	149	0
3840	4006	150
8438	8575	317
8829	8904	455
9358	9464	531
10802	10864	638
0	138	0
3829	3988	139
5267	5383	299
8427	8564	416
8818	8893	554
9347	9364	630
0	137	0
8426	8892	138
9346	9363	605
0	117	0
5246	5362	118
8406	8543	235
8797	8872	373
9003	9115	449
9326	9432	562
10770	10832	669
0	74	0
3765	3931	75
5203	5319	242
8363	8500	359
8754	8829	497
9283	9389	573
10000	10118	680
10727	10789	799
0	62	0
0	447	0
2830	2905	448
3359	3376	524
0	332	0
2324	2461	333
2715	2790	471
3244	3350	547
4688	4750	654
0	604	0
858	933	605
1387	1404	681
0	569	0
780	886	570
2224	2286	677
0	101	0
803	1404	102
0	294	0
1632	1694	295
0	633	0
1242	1304	634
0	98	0
1661	2457	99
0	196	0
0	307	0
445	581	308
0	302	0
28826	29924	303
70923	71046	1402
79488	79607	1526
81170	81256	1646
81763	81947	1733
83381	83540	1918
83976	84099	2078
89706	89827	2202
90042	90166	2324
90265	90426	2449
90579	90641	2611
90935	91231	2674
91560	91700	2971
94021	94256	3112
94551	94678	3348
0	302	0
28826	29924	303
70923	71046	1402
79488	79607	1526
81170	81256	1646
81763	81947	1733
83381	83540	1918
83976	84099	2078
89706	89827	2202
90042	90166	2324
90265	90426	2449
90935	91231	2611
91560	91700	2908
94021	94256	3049
94551	94678	3285
0	359	0
28082	28312	360
0	359	0
28082	29180	360
70179	70302	1459
78744	78863	1583
80426	80512	1703
81019	81203	1790
82637	82796	1975
83232	83355	2135
88962	89083	2259
89298	89422	2381
89521	89682	2506
90191	90487	2668
90816	90956	2965
93277	93512	3106
93807	93934	3342
0	1098	0
42097	42220	1099
50662	50781	1223
52344	52430	1343
52937	53121	1430
54555	54714	1615
55150	55273	1775
60880	61001	1899
61216	61340	2021
61439	61600	2146
62109	62405	2308
62734	62874	2605
65195	65430	2746
65725	65852	2982
66679	67155	3110
0	33	0
7058	7166	34
8475	8594	143
10157	10242	263
