CFLAR	378	13624	+	1
CFLAR	378	16924	+	1
CFLAR	864	13624	+	1
CFLAR	1039	13624	+	1
CFLAR	2798	2923	+	1
CFLAR	2798	13624	+	1
CFLAR	6644	13624	+	1
CFLAR	13417	13624	+	1
CFLAR	14043	16924	+	1
CFLAR	16747	16924	+	1
CFLAR	17031	19867	+	1
CFLAR	20004	20093	+	1
CFLAR	20004	24252	+	1
CFLAR	22900	23869	-	2
CFLAR	24336	25269	+	1
CFLAR	24336	26540	+	1
CFLAR	24336	29273	+	1
CFLAR	24336	32897	+	1
CFLAR	24336	33649	+	1
CFLAR	24342	27242	-	3
CFLAR	24342	28031	-	3
CFLAR	24342	29469	-	3
CFLAR	24342	29535	-	3
CFLAR	24342	31638	-	3
CFLAR	24342	32611	-	3
CFLAR	24342	32629	-	3
CFLAR	24342	33020	-	3
CFLAR	26659	29273	+	1
CFLAR	27366	32629	-	3
CFLAR	28192	29469	-	3
CFLAR	28199	29469	-	3
CFLAR	28199	32629	-	3
CFLAR	29329	32898	+	1
CFLAR	29587	32629	-	3
CFLAR	30639	32629	-	3
CFLAR	30639	33020	-	3
CFLAR	31761	32629	-	3
CFLAR	32768	33020	-	3
CFLAR	32768	33549	-	3
CFLAR	32949	33649	+	1
CFLAR	33097	33226	-	3
CFLAR	33097	33549	-	3
CFLAR	33340	33549	-	3
CFLAR	33657	34266	-	3
CFLAR	33657	34993	-	3
CFLAR	33732	38032	+	1
CFLAR	33732	44327	+	1
CFLAR	34386	34993	-	3
CFLAR	35156	36717	-	3
CFLAR	35156	37206	-	3
CFLAR	37570	41650	-	3
CFLAR	44839	46891	+	1
CFLAR	44839	47730	+	1
CFLAR	51169	51305	+	6
HIPK3	1218	29740	+	7
HIPK3	2019	29740	+	7
HIPK3	30840	71837	+	7
HIPK3	71962	78985	+	7
HIPK3	71962	80402	+	7
HIPK3	79095	80402	+	7
HIPK3	80523	82084	+	7
HIPK3	82172	82677	+	7
HIPK3	82863	84295	+	7
HIPK3	84456	84890	+	7
HIPK3	85015	90620	+	7
HIPK3	90743	90956	+	7
HIPK3	91082	91179	+	7
HIPK3	91342	91493	+	7
HIPK3	91342	91849	+	7
HIPK3	91557	91849	+	7
HIPK3	92147	92474	+	7
HIPK3	92616	94935	+	7
HIPK3	95172	95465	+	7
HIPK3	95594	96419	+	7
