CFLAR	378	13624	+
CFLAR	378	16924	+
CFLAR	864	13624	+
CFLAR	1039	13624	+
CFLAR	2798	2923	+
CFLAR	2798	13624	+
CFLAR	6644	13624	+
CFLAR	13417	13624	+
CFLAR	14043	16924	+
CFLAR	16747	16924	+
CFLAR	17031	19867	+
CFLAR	20004	20093	+
CFLAR	20004	24252	+
CFLAR	22900	23869	-
CFLAR	24336	25269	+
CFLAR	24336	26540	+
CFLAR	24336	29273	+
CFLAR	24336	32897	+
CFLAR	24336	33649	+
CFLAR	24342	27242	-
CFLAR	24342	28031	-
CFLAR	24342	29469	-
CFLAR	24342	29535	-
CFLAR	24342	31638	-
CFLAR	24342	32611	-
CFLAR	24342	32629	-
CFLAR	24342	33020	-
CFLAR	26659	29273	+
CFLAR	27366	32629	-
CFLAR	28192	29469	-
CFLAR	28199	29469	-
CFLAR	28199	32629	-
CFLAR	29329	32898	+
CFLAR	29587	32629	-
CFLAR	30639	32629	-
CFLAR	30639	33020	-
CFLAR	31761	32629	-
CFLAR	32768	33020	-
CFLAR	32768	33549	-
CFLAR	32949	33649	+
CFLAR	33097	33226	-
CFLAR	33097	33549	-
CFLAR	33340	33549	-
CFLAR	33657	34266	-
CFLAR	33657	34993	-
CFLAR	33732	38032	+
CFLAR	33732	44327	+
CFLAR	34386	34993	-
CFLAR	35156	36717	-
CFLAR	35156	37206	-
CFLAR	37570	41650	-
CFLAR	44839	46891	+
CFLAR	44839	47730	+
CFLAR	51169	51305	+
HIPK3	1218	29740	+
HIPK3	2019	29740	+
HIPK3	30840	71837	+
HIPK3	71962	78985	+
HIPK3	71962	80402	+
HIPK3	79095	80402	+
HIPK3	80523	82084	+
HIPK3	82172	82677	+
HIPK3	82863	84295	+
HIPK3	84456	84890	+
HIPK3	85015	90620	+
HIPK3	90743	90956	+
HIPK3	91082	91179	+
HIPK3	91342	91493	+
HIPK3	91342	91849	+
HIPK3	91557	91849	+
HIPK3	92147	92474	+
HIPK3	92616	94935	+
HIPK3	95172	95465	+
HIPK3	95594	96419	+
